ZIP_CODE,INCIDENT_DATE_TIME,Group_Count
11433.0,2014,2588
11435.0,2014,2588
10023.0,2014,2584
11237.0,2014,2547
10301.0,2014,2492
10017.0,2014,2434
11238.0,2014,2433
11231.0,2014,2420
10033.0,2014,2392
10010.0,2014,2356
11225.0,2014,2336
10018.0,2014,2332
10030.0,2014,2294
10475.0,2014,2289
11218.0,2014,2286
11375.0,2014,2277
11219.0,2014,2274
10306.0,2014,2269
10465.0,2014,2258
11204.0,2014,2169
10012.0,2014,2137
10014.0,2014,2097
10312.0,2014,2067
10040.0,2014,2065
10305.0,2014,2015
11413.0,2014,2004
10039.0,2014,1953
11355.0,2014,1851
11420.0,2014,1810
11419.0,2014,1795
11222.0,2014,1791
10034.0,2014,1782
11372.0,2014,1732
10128.0,2014,1710
11412.0,2014,1685
11106.0,2014,1675
11418.0,2014,1588
11378.0,2014,1565
11367.0,2014,1513
11374.0,2014,1510
11103.0,2014,1482
10303.0,2014,1431
10028.0,2014,1428
11414.0,2014,1420
10310.0,2014,1398
11365.0,2014,1393
10038.0,2014,1391
11228.0,2014,1373
11102.0,2014,1373
11357.0,2014,1347
10037.0,2014,1322
11422.0,2014,1311
11417.0,2014,1297
11232.0,2014,1262
11423.0,2014,1261
10309.0,2014,1257
11105.0,2014,1239
10308.0,2014,1181
11694.0,2014,1158
10007.0,2014,1119
11358.0,2014,1108
11436.0,2014,1105
11364.0,2014,1104
11421.0,2014,1101
10474.0,2014,1094
10302.0,2014,1081
10471.0,2014,1066
11429.0,2014,1054
11369.0,2014,1041
11361.0,2014,1033
11416.0,2014,1028
11379.0,2014,1021
11411.0,2014,985
11426.0,2014,876
11239.0,2014,846
11360.0,2014,808
11693.0,2014,798
11692.0,2014,782
11427.0,2014,770
11356.0,2014,761
11104.0,2014,723
11362.0,2014,720
11415.0,2014,669
10004.0,2014,658
10470.0,2014,621
11370.0,2014,583
11428.0,2014,557
10005.0,2014,521
10307.0,2014,501
10006.0,2014,418
10464.0,2014,402
11366.0,2014,376
