INCIDENT_DATE_TIME,ZIP_CODE,Group_Count
2013-01-02,11221.0,11
2013-01-02,11222.0,6
2013-01-02,11223.0,7
2013-01-02,11224.0,7
2013-01-02,11225.0,7
2013-01-02,11226.0,15
2013-01-02,11218.0,3
2013-01-02,11363.0,2
2013-01-02,11418.0,2
2013-01-02,11365.0,5
2013-01-02,11422.0,3
2013-01-02,11423.0,1
2013-01-02,11426.0,1
2013-01-02,11427.0,2
2013-01-02,11428.0,3
2013-01-02,11429.0,1
2013-01-02,11432.0,9
2013-01-02,11433.0,8
2013-01-02,11434.0,6
2013-01-02,11435.0,6
2013-01-02,11436.0,1
2013-01-02,11691.0,7
2013-01-02,11692.0,6
2013-01-02,11693.0,2
2013-01-02,11694.0,4
2013-01-02,11697.0,1
2013-01-02,99999.0,16
2013-01-02,11421.0,1
2013-01-02,11364.0,4
2013-01-02,11420.0,2
2013-01-02,11417.0,4
2013-01-02,11367.0,4
2013-01-02,11368.0,3
2013-01-02,11369.0,5
2013-01-02,11370.0,4
2013-01-02,11373.0,8
2013-01-02,11374.0,3
2013-01-02,11375.0,4
2013-01-02,11377.0,8
2013-01-02,11378.0,7
2013-01-02,11379.0,1
2013-01-02,11385.0,7
2013-01-02,11411.0,3
2013-01-02,11412.0,1
2013-01-02,11413.0,6
2013-01-02,11414.0,6
2013-01-02,11415.0,2
2013-01-02,11416.0,3
2013-01-02,11419.0,8
2013-01-02,11208.0,10
2013-01-02,10303.0,3
2013-01-02,11206.0,15
2013-01-02,10027.0,13
2013-01-02,10028.0,3
2013-01-02,10029.0,18
2013-01-02,10030.0,10
2013-01-02,10031.0,8
2013-01-02,10032.0,11
2013-01-02,10033.0,4
2013-01-02,10026.0,8
2013-01-02,10034.0,5
2013-01-02,10036.0,8
2013-01-02,10037.0,1
2013-01-02,10038.0,6
2013-01-02,10039.0,7
2013-01-02,10040.0,9
2013-01-02,10128.0,3
2013-01-02,10280.0,1
2013-01-02,10035.0,9
2013-01-02,10025.0,13
2013-01-02,10024.0,6
2013-01-02,10023.0,9
2013-01-02,11207.0,20
2013-01-02,10002.0,14
2013-01-02,10003.0,13
2013-01-02,10005.0,1
2013-01-02,10006.0,1
2013-01-02,10007.0,1
2013-01-02,10009.0,11
2013-01-02,10010.0,7
2013-01-02,10011.0,12
2013-01-02,10013.0,13
2013-01-02,10014.0,2
2013-01-02,10016.0,8
2013-01-02,10017.0,4
2013-01-02,10018.0,6
2013-01-02,10019.0,9
2013-01-02,10021.0,9
2013-01-02,10022.0,10
2013-01-02,10301.0,5
2013-01-02,10302.0,4
2013-01-02,10001.0,8
2013-01-02,11205.0,6
2013-01-02,10467.0,14
2013-01-02,10468.0,8
2013-01-02,10469.0,10
2013-01-02,10470.0,1
2013-01-02,10471.0,3
2013-01-02,10472.0,10
2013-01-02,10304.0,8
2013-01-02,10475.0,1
2013-01-02,11101.0,10
2013-01-02,11102.0,2
2013-01-02,11103.0,1
2013-01-02,11104.0,2
2013-01-02,11105.0,3
2013-01-02,11106.0,3
2013-01-02,11201.0,8
2013-01-02,11203.0,8
2013-01-02,11204.0,6
2013-01-02,10466.0,3
2013-01-02,10465.0,4
2013-01-02,10473.0,11
2013-01-02,10462.0,5
2013-01-02,10463.0,9
2013-01-02,10305.0,6
2013-01-02,10306.0,4
2013-01-02,10308.0,7
2013-01-02,10309.0,2
2013-01-02,10314.0,9
2013-01-02,10451.0,11
2013-01-02,10452.0,6
2013-01-02,10312.0,4
2013-01-02,10454.0,7
2013-01-02,10453.0,11
2013-01-02,10460.0,8
2013-01-02,10459.0,4
2013-01-02,10458.0,11
2013-01-02,10461.0,6
2013-01-02,10456.0,19
2013-01-02,10455.0,4
2013-01-02,10457.0,5
2013-01-03,11232.0,5
2013-01-03,11225.0,3
2013-01-03,11226.0,17
2013-01-03,11228.0,6
2013-01-03,11229.0,7
2013-01-03,11230.0,12
2013-01-03,11231.0,8
2013-01-03,11233.0,13
2013-01-03,11357.0,4
2013-01-03,11235.0,9
2013-01-03,11236.0,8
2013-01-03,11237.0,5
2013-01-03,11238.0,6
2013-01-03,11239.0,2
2013-01-03,11354.0,8
2013-01-03,11355.0,3
2013-01-03,11234.0,14
2013-01-03,11224.0,3
2013-01-03,11205.0,4
2013-01-03,11222.0,2
2013-01-03,11360.0,1
2013-01-03,11206.0,17
2013-01-03,11207.0,14
2013-01-03,11208.0,9
2013-01-03,11209.0,6
2013-01-03,11210.0,8
2013-01-03,11211.0,17
2013-01-03,11212.0,16
2013-01-03,11213.0,6
2013-01-03,11214.0,5
2013-01-03,11215.0,10
2013-01-03,11216.0,6
2013-01-03,11217.0,5
2013-01-03,11218.0,7
2013-01-03,11219.0,5
2013-01-03,11220.0,6
2013-01-03,11221.0,10
2013-01-03,11223.0,5
2013-01-03,11361.0,2
2013-01-03,11418.0,4
2013-01-03,11364.0,1
2013-01-03,11422.0,2
2013-01-03,11423.0,2
2013-01-03,11426.0,2
2013-01-03,11428.0,1
2013-01-03,11429.0,3
2013-01-03,11430.0,1
2013-01-03,11432.0,8
2013-01-03,11421.0,2
2013-01-03,11433.0,4
2013-01-03,11435.0,7
2013-01-03,11436.0,3
2013-01-03,11691.0,10
2013-01-03,11692.0,4
2013-01-03,11693.0,1
2013-01-03,11694.0,3
2013-01-03,99999.0,15
2013-01-03,11434.0,7
2013-01-03,11420.0,2
2013-01-03,11419.0,9
2013-01-03,11417.0,6
2013-01-03,11365.0,3
2013-01-03,11367.0,3
2013-01-03,11368.0,5
2013-01-03,11370.0,2
2013-01-03,11372.0,4
2013-01-03,11373.0,5
2013-01-03,11374.0,3
2013-01-03,11375.0,11
2013-01-03,11377.0,3
2013-01-03,11378.0,4
2013-01-03,11379.0,3
2013-01-03,11385.0,2
2013-01-03,11412.0,3
2013-01-03,11413.0,3
2013-01-03,11414.0,4
2013-01-03,11415.0,3
2013-01-03,11416.0,2
2013-01-03,11362.0,1
2013-01-03,11204.0,3
2013-01-03,11358.0,2
2013-01-03,11201.0,12
2013-01-03,10024.0,6
2013-01-03,10025.0,13
2013-01-03,10026.0,9
2013-01-03,10027.0,15
2013-01-03,10028.0,1
2013-01-03,10029.0,13
2013-01-03,10030.0,4
2013-01-03,10022.0,7
2013-01-03,10031.0,10
2013-01-03,10033.0,4
2013-01-03,10034.0,2
2013-01-03,10035.0,8
2013-01-03,10036.0,5
2013-01-03,10037.0,2
2013-01-03,10039.0,4
2013-01-03,10040.0,6
2013-01-03,10032.0,10
2013-01-03,10021.0,12
2013-01-03,10020.0,1
2013-01-03,10019.0,16
2013-01-03,11203.0,10
2013-01-03,10001.0,7
2013-01-03,10002.0,20
2013-01-03,10003.0,11
2013-01-03,10004.0,1
2013-01-03,10005.0,1
2013-01-03,10006.0,1
2013-01-03,10007.0,2
2013-01-03,10009.0,16
2013-01-03,10010.0,10
2013-01-03,10011.0,11
2013-01-03,10012.0,5
2013-01-03,10013.0,8
2013-01-03,10014.0,2
2013-01-03,10016.0,7
2013-01-03,10017.0,4
2013-01-03,10018.0,6
2013-01-03,10128.0,4
2013-01-03,10301.0,12
2013-01-03,10023.0,7
2013-01-03,10303.0,3
2013-01-03,10463.0,8
2013-01-03,10465.0,5
2013-01-03,10466.0,8
2013-01-03,10467.0,13
2013-01-03,10468.0,15
2013-01-03,10470.0,2
2013-01-03,10471.0,4
2013-01-03,10472.0,7
2013-01-03,10473.0,8
2013-01-03,10474.0,4
2013-01-03,10475.0,2
2013-01-03,11004.0,1
2013-01-03,11101.0,13
2013-01-03,11102.0,1
2013-01-03,11103.0,5
2013-01-03,10302.0,3
2013-01-03,11106.0,5
2013-01-03,10462.0,12
2013-01-03,10461.0,8
2013-01-03,10469.0,8
2013-01-03,10459.0,5
2013-01-03,10304.0,12
2013-01-03,10460.0,9
2013-01-03,10305.0,5
2013-01-03,10306.0,7
2013-01-03,10308.0,2
2013-01-03,10309.0,2
2013-01-03,10310.0,4
2013-01-03,10314.0,8
2013-01-03,10451.0,13
2013-01-03,10312.0,6
2013-01-03,10453.0,11
2013-01-03,10454.0,14
2013-01-03,10455.0,10
2013-01-03,10456.0,23
2013-01-03,10457.0,16
